TimeStamp,Test,Temperature,Electricity,Gas,Water,Heating,Cooling,Lighting,Domestic Water,Plugs,,,,,,,,coef,1000
Init,0,,0,0,0,0,0,0,0,0,,,,,,,,amplitude,7
1/1/16 12:00 AM,1,2.5,5.71,6.62,0.53,9.12,5.98,1.43,0.46,2.58,,,,,,,,,
1/1/16 1:00 AM,2,2.25,11.43,13.23,1.06,18.91,12.41,2.79,0.93,5.25,,,,,,,,,
1/1/16 2:00 AM,3,2,17.06,20.34,1.60,28.41,18.53,4.20,1.40,7.98,,,,,,,,,
1/1/16 3:00 AM,4,1.75,22.71,26.92,2.13,38.28,24.76,5.60,1.86,10.68,,,,,,,,,
1/1/16 4:00 AM,5,1.5,27.95,34.09,2.67,47.44,30.81,7.00,2.33,13.34,,,,,,,,,
1/1/16 5:00 AM,6,1.25,33.56,41.69,3.18,56.88,37.58,8.40,2.81,15.96,,,,,,,,,
1/1/16 6:00 AM,7,1,39.13,49.01,3.72,66.24,44.22,9.79,3.28,18.68,,,,,,,,,
1/1/16 7:00 AM,8,0.5,63.95,83.41,6.47,112.26,73.69,16.94,5.59,31.34,,,,,,,,,
1/1/16 8:00 AM,9,0,91.40,118.58,9.02,163.31,105.31,23.94,8.00,44.25,,,,,,,,,
1/1/16 9:00 AM,10,0.5,116.17,152.18,11.74,213.81,136.94,31.27,10.26,57.38,,,,,,,,,
1/1/16 10:00 AM,11,1,143.85,185.81,14.42,259.13,168.74,38.17,12.57,70.86,,,,,,,,,
1/1/16 11:00 AM,12,2,170.48,219.61,16.99,304.72,198.54,45.02,14.98,83.90,,,,,,,,,
1/1/16 12:00 PM,13,3,196.73,257.56,19.67,354.59,231.48,52.16,17.33,97.24,,,,,,,,,
1/1/16 1:00 PM,14,4,224.18,292.68,22.40,399.56,262.32,59.22,19.76,110.25,,,,,,,,,
1/1/16 2:00 PM,15,5,251.47,326.62,24.97,449.25,295.48,66.22,22.13,123.30,,,,,,,,,
1/1/16 3:00 PM,16,5.75,277.99,364.37,27.60,498.44,324.75,73.12,24.45,137.02,,,,,,,,,
1/1/16 4:00 PM,17,5.5,302.98,400.83,30.16,548.82,355.31,80.16,26.77,150.54,,,,,,,,,
1/1/16 5:00 PM,18,5,329.20,433.91,32.79,594.67,386.18,87.17,29.19,164.01,,,,,,,,,
1/1/16 6:00 PM,19,4.75,357.42,471.71,35.34,639.99,415.90,94.38,31.60,176.81,,,,,,,,,
1/1/16 7:00 PM,20,4.5,383.00,505.20,38.06,687.33,448.20,101.21,33.86,189.63,,,,,,,,,
1/1/16 8:00 PM,21,4,388.04,512.13,38.59,697.26,454.51,102.59,34.34,192.35,,,,,,,,,
1/1/16 9:00 PM,22,3.5,393.47,519.53,39.12,707.52,461.07,103.99,34.79,194.95,,,,,,,,,
1/1/16 10:00 PM,23,3,398.99,526.91,39.64,716.56,467.15,105.45,35.25,197.56,,,,,,,,,
1/1/16 11:00 PM,24,2.75,404.12,533.65,40.16,726.31,473.93,106.84,35.71,200.24,,,,,,,,,
1/2/16 12:00 AM,25,2.5,405.23,535.02,40.26,728.25,475.28,107.12,35.80,200.77,,,,,,,,,
1/2/16 1:00 AM,26,2.25,406.24,536.38,40.37,730.24,476.46,107.41,35.89,201.32,,,,,,,,,
1/2/16 2:00 AM,27,2,407.31,537.78,40.48,732.18,477.70,107.68,35.99,201.83,,,,,,,,,
